case_id,dataset,n_voxels,n_uptake,n_plateau,n_washout,pct_uptake,pct_plateau,pct_washout
DUKE_032,DUKE,13180,12588,480,112,95.5083459787557,3.6418816388467374,0.8497723823975721
DUKE_041,DUKE,16450,15640,585,225,95.07598784194529,3.556231003039514,1.3677811550151975
DUKE_060,DUKE,16490,16379,74,37,99.32686476652518,0.44875682231655545,0.22437841115827772
DUKE_099,DUKE,17566,13227,2924,1415,75.29887282249801,16.645793009222363,8.05533416827963
DUKE_117,DUKE,7632,7507,53,72,98.36215932914047,0.6944444444444444,0.9433962264150944
DUKE_148,DUKE,224757,221886,1202,1669,98.72262043006447,0.5347998060127159,0.7425797639228144
DUKE_211,DUKE,12783,12551,108,124,98.18508957208792,0.8448720957521709,0.9700383321598999
DUKE_217,DUKE,144053,140035,2769,1249,97.21074882161427,1.9222091868964892,0.8670419914892434
DUKE_260,DUKE,8006,7779,119,108,97.16462653010242,1.4863852110916813,1.3489882588058955
DUKE_303,DUKE,14995,14793,164,38,98.65288429476492,1.0936978992997666,0.25341780593531177
ISPY1_1008,ISPY1,3113,3107,6,0,99.80725987793126,0.19274012206874397,0.0
ISPY1_1009,ISPY1,22684,22639,39,6,99.80162228883795,0.17192734967377887,0.02645036148827367
ISPY1_1016,ISPY1,17035,16941,59,35,99.44819489286762,0.3463457587320223,0.2054593484003522
ISPY1_1034,ISPY1,71723,71120,362,241,99.15926550757777,0.5047195460312592,0.3360149463909764
ISPY1_1041,ISPY1,70630,70542,79,9,99.87540705082826,0.11185048846099391,0.012742460710746143
ISPY1_1062,ISPY1,21220,21189,26,5,99.85391140433553,0.12252591894439209,0.0235626767200754
ISPY1_1077,ISPY1,3439,3426,8,5,99.62198313463216,0.23262576330328583,0.14539110206455366
ISPY1_1090,ISPY1,10092,9970,69,53,98.79112168053904,0.6837098692033293,0.5251684502576298
ISPY1_1099,ISPY1,28697,28375,313,9,98.87793149109663,1.0907063456110393,0.03136216329233021
ISPY1_1117,ISPY1,2932,2927,3,2,99.82946793997272,0.10231923601637108,0.06821282401091405
ISPY2_105286,ISPY2,5846,5117,662,67,87.52993499828943,11.323982210058158,1.146082791652412
ISPY2_108969,ISPY2,9982,9961,20,1,99.78962131837307,0.20036064916850332,0.010018032458425166
ISPY2_111004,ISPY2,30793,30746,46,1,99.84736790829083,0.14938460039619395,0.0032474913129607375
ISPY2_115638,ISPY2,48530,44423,3506,601,91.53719348856377,7.22439728003297,1.2384092314032558
ISPY2_122579,ISPY2,14332,14036,293,3,97.93469159921854,2.044376221043818,0.020932179737650013
ISPY2_125130,ISPY2,4268,4257,5,6,99.74226804123711,0.11715089034676662,0.14058106841611998
ISPY2_125418,ISPY2,15456,14315,1088,53,92.6177536231884,7.039337474120083,0.3429089026915114
ISPY2_128051,ISPY2,27493,7910,13646,5937,28.770959880696907,49.634452406067,21.594587713236095
ISPY2_130580,ISPY2,49590,48459,941,190,97.71929824561404,1.8975599919338577,0.38314176245210724
ISPY2_136536,ISPY2,1783,1630,142,11,91.41895681435783,7.9641054402692095,0.616937745372967
NACT_18,NACT,13069,9024,2133,1912,69.04889433009411,16.32106511592318,14.630040553982706
NACT_19,NACT,6500,6361,135,4,97.86153846153847,2.076923076923077,0.06153846153846154
NACT_25,NACT,87930,86234,1583,113,98.07119299442738,1.800295689753213,0.1285113158194018
NACT_33,NACT,7355,6777,551,27,92.14140040788578,7.491502379333786,0.3670972127804215
NACT_37,NACT,6583,6570,13,0,99.80252164666565,0.19747835333434605,0.0
NACT_44,NACT,20695,20637,58,0,99.71973906740759,0.28026093259241364,0.0
NACT_48,NACT,79735,79612,120,3,99.84573901047219,0.15049852636859598,0.0037624631592148993
NACT_52,NACT,5005,5005,0,0,100.0,0.0,0.0
NACT_57,NACT,39777,39673,98,6,99.73854237373357,0.24637353244337182,0.01508409382306358
NACT_60,NACT,3705,3703,2,0,99.94601889338732,0.053981106612685556,0.0
